"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"32"	3	3	1	-1	-1	1	20	-1	1	7.038	-0.6793	-6.0914	-4.3365	-6.741	6.6007	3.1993	0.8011	-3.3928	-4.4257	-6.1314	5.6254	-5.1167	-1.6194	-9.6252	4.2118	-2.0296	7.9999	4.0406	-3.8495	1.0426	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4588	8.5054	3	32	1.95132403889939	0	1
"33"	3	12	1	1	1	0	11	-1	0	3.425	-2.9556	4.1214	-1.5322	6.2969	4.036	2.0535	-10.9236	6.7312	-0.2367	2.0848	-0.5172	-4.1194	7.6576	2.1501	-1.635	-0.2249	9.812	-6.6025	3.7443	-0.7926	0.2883	0.3605	0.2795	0.2348	0.3949	0.5196	0.4249	0.2383	0.3151	0.2033	0.4839	0.3743	0.4365	0.3279	0.2234	0.255	0.3801	0.2771	0.3174	6.3347	1.5055	4.9423	3	33	1.23110147171419	0	1
"34"	3	36	1	-4	-4	0	5	-1	1	1.33	-0.2021	-7.6089	-7.6292	-5.1025	-11.688	-0.1131	6.3701	-8.1041	-5.9758	-4.733	0.3981	-4.8539	7.1557	-0.8253	-9.3829	-3.8687	-7.9071	-8.4857	-5.0606	-1.8315	0.229	0.26	0.2195	0.2799	0.4064	0.3098	0.459	0.38	0.2484	0.4766	0.2843	0.5192	0.2735	0.2315	0.3155	0.4396	0.2457	0.2167	0.528	6.3225	1.4584	2.7977	3	34	0.285178942233662	0	1
"35"	3	46	1	0	0	1	12	1	0	3.992	2.8145	-6.2645	1.3314	-1.4874	-5.554	3.2238	0.6477	-3.0132	4.0108	9.4823	-1.0649	-7.2995	-8.7207	2.7082	0.8169	-2.8399	6.7231	0.9882	-3.6824	7.7235	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6341	5.6423	3	35	1.38429235844922	1	0
"36"	3	19	1	1	1	1	15	-1	0	4.924	3.5246	5.0324	0.0981	-0.5385	-5.3345	3.448	-1.8526	0.6572	-0.3559	8.8442	-1.4295	4.6729	-11.9675	-4.7898	3.7581	-0.1775	8.6689	-1.6925	3.9431	5.844	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4847	6.4079	3	36	1.59412120832221	0	1
"37"	3	4	1	0	0	1	20	-1	1	6.534	0.2103	7.3311	0.5578	3.9445	-2.3538	-5.4711	-4.0502	7.03	1.5909	5.6102	-4.5014	3.8149	-4.905	-1.2719	-3.3586	4.469	-12.2925	3.6599	-0.2454	0.5776	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6288	8.1682	3	37	1.87701931317888	0	1
"38"	3	2	1	-2	-2	1	10	-1	1	3.298	0.7058	-10.3279	-8.8656	-5.3544	4.4432	1.0458	-4.9757	-2.2436	2.1626	-1.3006	-5.4225	-0.3199	8.5501	-7.5356	0.1925	6.6794	-1.155	-7.2009	-3.0131	-4.9283	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6157	4.9154	3	38	1.19331622413741	0	1
"39"	3	16	1	-2	-2	1	18	-1	1	5.756	0.6599	-3.6183	-6.4469	-7.2176	2.7662	-3.8286	1.3451	3.617	4.5647	8.5519	0.6413	-3.1126	-9.2301	-0.6551	-4.8341	-10.542	-1.8999	1.0948	-5.4692	-7.9488	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6314	7.3896	3	39	1.75024278902512	0	1
"40"	3	33	1	1	1	1	17	-1	0	5.63	-2.8102	5.9161	1.7536	-5.8068	-4.0577	6.9653	9.5834	-2.0746	-0.8677	-2.743	0.8348	3.8655	-1.1245	-4.6364	8.2035	3.921	-6.2593	-0.9602	2.6523	8.9709	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5949	7.247	3	40	1.7281094421516	0	1
"41"	3	52	1	-1	-1	0	20	-1	1	7.233	1.7502	-6.4188	-1.5437	-0.0648	-1.349	5.6398	1.7893	4.8961	-5.373	-3.7372	3.3871	-1.4606	0.7277	5.3063	-6.3894	2.5508	-1.6234	0.1314	-2.3237	-15.0773	0.3445	0.4406	0.2229	0.2741	0.3938	0.4685	0.2507	0.2852	0.2221	0.2895	0.3648	0.261	0.3702	0.3368	0.5297	0.3424	0.2321	0.4322	0.259	6.3201	1.5414	8.7837	3	41	1.97865388786714	0	1
